id;item;quantity;rate;labor_cost;other_expense;total;date;transaction_id;expense_mode;type;bill;bill_content_type;remarks
1;methodologies;31195;40933;32074;89409;72442;2020-09-13;teal Outdoors payment;CASH;FIXASSET;../data/blob/hipster.png;image/png;Licensed Cheese Summit
2;back up Auto Loan Account;13124;29416;3252;91183;92084;2020-09-12;indigo Manors;DEBITCARD;FIXASSET;../data/blob/hipster.png;image/png;architectures
3;Networked;16082;6420;65151;58197;32592;2020-09-13;redundant website;NETBANKING;OPERATING;../data/blob/hipster.png;image/png;payment
4;XSS solid state Handmade Granite Fish;10493;14592;24204;10279;98666;2020-09-13;Health;DEBITCARD;OPERATING;../data/blob/hipster.png;image/png;Borders
5;PCI;8250;3320;82451;7857;35780;2020-09-13;Frozen;NEFT;FIXASSET;../data/blob/hipster.png;image/png;Metal Lead
6;Communications Generic Granite Gloves;70906;93520;87096;94735;71408;2020-09-13;cross-platform Auto Loan Account Avon;NETBANKING;MARKETING;../data/blob/hipster.png;image/png;Handmade Generic Concrete Tuna
7;Trafficway;61574;21921;32901;97586;47018;2020-09-13;Pizza redundant deposit;UPI;MARKETING;../data/blob/hipster.png;image/png;Borders Intelligent whiteboard
8;Practical Steel Mouse;25768;84045;46262;17419;86827;2020-09-12;mindshare navigating Money Market Account;OTHERS;MARKETING;../data/blob/hipster.png;image/png;Borders HDD
9;redundant withdrawal Planner;28385;91236;35915;21066;38384;2020-09-13;invoice program;DEBITCARD;OPERATING;../data/blob/hipster.png;image/png;redefine
10;Shirt SDD;49227;43716;24723;9739;87074;2020-09-13;Home Loan Account Louisiana;CASH;MARKETING;../data/blob/hipster.png;image/png;deposit matrices quantify
