id;share_percent;planned_classes;actual_classes;share_correction;share;month;remarks
1;83;64454;3700;65016;59626;DEC;SMS
2;53;33987;44103;72476;40448;JUL;Maldives bluetooth policy
3;63;52016;88597;42681;61586;DEC;Outdoors
4;18;52893;38396;93906;93258;AUG;AGP Coordinator
5;77;9169;41776;33637;42135;JAN;Inlet
6;29;28723;85282;29630;71555;APR;Automotive
7;99;4510;42777;10946;38432;OCT;neural Cloned Massachusetts
8;99;87911;88419;94473;60079;MAR;Associate Intuitive Creative
9;65;23056;60773;83064;51268;JAN;architect
10;3;18643;95727;77958;82620;JUL;EXE
